54077
5 80 21223122246566654766544332333354565656565666666022121212121217776077076600212222
4 84 212110010002444445445444444444466000000001765666566666667000010000244444444322221222
1 44 10011012224465454555454545454466701010101011
9 54 222222445455454454444343467700701701765666600001111122
2 71 22123434444553332325667676565565665667001111212122210010765556567012121
1 42 344443444444434444466700700000000700000022
3 83 22222233454545534444456565665666677002143222221111776665670122212111766666666012212
1 40 4443444444444354354600000700000000000002
4 68 45453321011100101124455445545534665554546601010177565650011211010023
3 62 22334543453444445455566666767012332122101076667711217607072122
5 54 112122212224656665665565434355566666701135322117700121
3 91 2323446544323233444545566566666667701125432222121100767676660012111766666666657012222222222
6 69 121245455655444545544321001110212233445565455666666670000010100111011
1 40 4443444444544344446700000000000000700023
7 67 1222223445446545545555455466010110110101110076654655656600102122122
2 74 22334434444322123656666555465566666670001221222221100000707666554660111222
8 48 222211244454555554444455556667000011110007001122
6 75 121246555545454445444333212110107775561021323444445556666670700010001010110
9 46 2222344455545444554555566111011100176700001021
4 73 2210000001344345444344444343566770000766656656600077007700022334344331221
9 45 212224444454554545545544600101017660710011011
1 41 10101102235454555455454545456710001101011
1 73 1000224444444444444443212456666666656566712121232100000007565666602221111
2 89 22232323445555566565553321222212222254566665566666667607010210211112110766665666601221122
4 60 210000011445444325554444544546001001000766677000002254443322
3 86 22222332435555433454446565656666666677002222322221211707666700212217757666666012221222
2 86 22222334344545565465432222322447575666666676710002121121100766667666666660001222222223
7 47 22222244555465554555671101111111765656650012212
3 63 233455322233434445566667670001766701211766666665660022212222222
8 54 222223243345665565544445454566666770101102112100000001
6 67 1224655454544544444433221760012122224445556566666700700010010001011
9 49 1222223445545545555455555661111011101107667000122
5 67 1212221222465665665653244444556556666660003232212111007655660211011
6 48 222444554544323233344555666676777170010010011010
7 80 23234444532122224665666554444447000007666565600122222110100766666666660221222222
6 60 224454555445444321010102123444445456555607677000000100101011
1 42 224444444544444444454660001000000000100000
8 55 2224310002244544555544344454565666660000111010770001212
7 57 122444454444544445444466010001000010001076656566602212122
9 47 22223454454445454545545661011010101766707010211
